province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Unknown,Malaysia,2022-04-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-03-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-09,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-24,,,,89,0,51,,,,
,Malaysia,2020-02-24,,,,22,0,18,,,,
Unknown,Malaysia,2023-01-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-17,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-10,,,,45,0,2,,,,
,Malaysia,2020-02-10,,,,18,0,1,,,,
Unknown,Malaysia,2022-03-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-25,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-26,,,,93,0,62,,,,
,Malaysia,2020-02-26,,,,22,0,18,,,,
Unknown,Malaysia,2023-02-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-04,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-06,,,,28,0,0,,,,
,Malaysia,2020-02-06,,,,12,0,0,,,,
Unknown,Malaysia,2022-11-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-25,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-01-29,,,,7,,,,,,
,Malaysia,2020-01-29,,,,7,,,,,,
Unknown,Malaysia,2022-04-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-16,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-27,,,,93,0,62,,,,
,Malaysia,2020-02-27,,,,23,0,18,,,,
Unknown,Malaysia,2022-08-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-06,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-14,,,,67,0,17,,,,
,Malaysia,2020-02-14,,,,19,0,3,,,,
Unknown,Malaysia,2022-07-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-03-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-31,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-01-26,,,,4,,,,,,
,Malaysia,2020-01-26,,,,4,,,,,,
Unknown,Malaysia,2021-10-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-17,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-15,,,,72,0,18,,,,
,Malaysia,2020-02-15,,,,22,0,7,,,,
Unknown,Malaysia,2021-10-22,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-05,,,,28,0,0,,,,
,Malaysia,2020-02-05,,,,12,0,0,,,,
Unknown,Malaysia,2021-11-30,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-03-05,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-25,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-09,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-17,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-10,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-19,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-03-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-08,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-01-28,,,,7,,,,,,
,Malaysia,2020-01-28,,,,4,,,,,,
Unknown,Malaysia,2021-10-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-28,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-21,,,,85,0,37,,,,
,Malaysia,2020-02-21,,,,22,0,15,,,,
Unknown,Malaysia,2023-01-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-31,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-05,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-05-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-03-02,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-29,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-12-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-07,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-21,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-20,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-19,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-07,,,,30,0,0,,,,
,Malaysia,2020-02-07,,,,12,0,1,,,,
Unknown,Malaysia,2023-03-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-09-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-27,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-22,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-01-15,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-12,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-08-08,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-04,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-23,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-24,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-01-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-01,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-13,,,,58,0,15,,,,
,Malaysia,2020-02-13,,,,19,0,3,,,,
Unknown,Malaysia,2023-01-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-04-28,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-03-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-28,,,,0,0,,,,,"Unknown, Malaysia"
,Singapore,2020-02-28,,,,93,0,62,,,,
,Malaysia,2020-02-28,,,,23,0,18,,,,
Unknown,Malaysia,2022-01-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-12-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-11-18,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-09-01,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-11-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-03,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-06-11,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-28,,,,0,0,,,,,"Unknown, Malaysia"
